id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
19971676,黑衣人：全球追缉,,https://dou.img.lithub.cc/movie/19971676.jpg,2019-06-14(中国大陆),https://movie.douban.com/subject/19971676/,5.5,"喜剧,动作,科幻",3,,,2019-07-24 16:30:05,2019 / 美国 / 喜剧 动作 科幻 / F·加里·格雷 / 克里斯·海姆斯沃斯 泰莎·汤普森
27197086,国家破产之日,,https://dou.img.lithub.cc/movie/27197086.jpg,2018-11-28(韩国),https://movie.douban.com/subject/27197086/,7.5,剧情,4,,,2019-06-02 17:43:19,2018 / 韩国 / 剧情 / 崔国熙 / 金惠秀 刘亚仁
30263995,一吻定情,,https://dou.img.lithub.cc/movie/30263995.jpg,2019-02-14(中国大陆),https://movie.douban.com/subject/30263995/,4.4,"喜剧,爱情",2,,,2019-06-02 17:42:00,2019 / 中国台湾 中国大陆 / 喜剧 爱情 / 陈玉珊 / 王大陆 林允
27197086,国家破产之日,,https://dou.img.lithub.cc/movie/27197086.jpg,2018-11-28(韩国),https://movie.douban.com/subject/27197086/,7.5,剧情,4,,,2019-06-02 17:43:19,2018 / 韩国 / 剧情 / 崔国熙 / 金惠秀 刘亚仁
30263995,一吻定情,,https://dou.img.lithub.cc/movie/30263995.jpg,2019-02-14(中国大陆),https://movie.douban.com/subject/30263995/,4.4,"喜剧,爱情",2,,,2019-06-02 17:42:00,2019 / 中国台湾 中国大陆 / 喜剧 爱情 / 陈玉珊 / 王大陆 林允
26946600,甲铁城的卡巴内瑞：海门决战,,https://dou.img.lithub.cc/movie/26946600.jpg,2019-05-10(日本),https://movie.douban.com/subject/26946600/,7.3,"剧情,动作,动画",4,,,2019-06-02 17:40:49,2019 / 日本 / 剧情 动作 动画 / 荒木哲郎 / 畠中祐 千本木彩花
27092785,李茶的姑妈,,https://dou.img.lithub.cc/movie/27092785.jpg,2018-09-30(中国大陆),https://movie.douban.com/subject/27092785/,4.6,喜剧,3,,,2019-06-02 17:40:12,2018 / 中国大陆 / 喜剧 / 吴昱翰 / 黄才伦 艾伦
2244426,雷霆沙赞！,,https://dou.img.lithub.cc/movie/2244426.jpg,2019-04-05(中国大陆),https://movie.douban.com/subject/2244426/,6.2,"动作,奇幻,冒险",5,,,2019-06-02 17:39:02,2019 / 美国 加拿大 / 动作 奇幻 冒险 / 大卫·F·桑德伯格 / 扎克瑞·莱维 马克·斯特朗
26147417,神奇动物：格林德沃之罪,,https://dou.img.lithub.cc/movie/26147417.jpg,2018-11-16(中国大陆),https://movie.douban.com/subject/26147417/,7,"奇幻,冒险",5,,,2019-06-02 17:38:42,2018 / 美国 英国 / 奇幻 冒险 / 大卫·叶茨 / 埃迪·雷德梅恩 凯瑟琳·沃特斯顿
26636712,蚁人2：黄蜂女现身,,https://dou.img.lithub.cc/movie/26636712.jpg,2018-08-24(中国大陆),https://movie.douban.com/subject/26636712/,7.2,"动作,科幻,冒险",5,,,2019-06-02 17:38:25,2018 / 美国 / 动作 科幻 冒险 / 佩顿·里德 / 保罗·路德 伊万杰琳·莉莉
26425063,无双,,https://dou.img.lithub.cc/movie/26425063.jpg,2018-09-30(中国大陆),https://movie.douban.com/subject/26425063/,8,"剧情,动作,悬疑",5,,,2019-06-02 17:38:15,2018 / 中国大陆 中国香港 / 剧情 动作 悬疑 犯罪 / 庄文强 / 周润发 郭富城
27110296,无名之辈,,https://dou.img.lithub.cc/movie/27110296.jpg,2018-11-16(中国大陆),https://movie.douban.com/subject/27110296/,8,"剧情,喜剧",5,,,2019-06-02 17:38:06,2018 / 中国大陆 / 剧情 喜剧 / 饶晓志 / 陈建斌 任素汐
